Audi;Q3;;Consulta ;;;
Audi ;A3;;Consulta ;;;
Audi ;A4;;Consulta ;;;
Audi ;A5;;Consulta ;;;
BMW ;X1;;Consulta ;;;
BMW ;320;;Consulta ;;;
BMW ;328;;Consulta ;;;
Chery ;QQ;;Consulta ;;;
Chevrolet;Corsa;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Chevrolet;Corsa;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Chevrolet;Corsa;1.6;Platafroma ;R$285,00;R$335,00;R$475,00
Chevrolet;Corsa;1.8;Platafroma ;R$285,00;R$335,00;R$475,00
Chevrolet;Celta;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Chevrolet;Celta;1.4;Platafroma ;R$285,00;R$335,00;R$495,00
Chevrolet;Astra;1.8;Platafroma ;R$295,00;R$345,00;R$495,00
Chevrolet;Astra;2.0;Platafroma ;R$295,00;R$345,00;R$495,00
Chevrolet;Agile ;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Chevrolet;Cobalt;1.4;Platafroma ;R$295,00;R$345,00;R$495,00
Chevrolet;Cobalt;1.8;Platafroma ;R$315,00;R$355,00;R$495,00
Chevrolet;Montana;1.4;Platafroma ;R$295,00;R$345,00;R$475,00
Chevrolet;Montana;1.8;Platafroma ;R$295,00;R$345,00;R$475,00
Chevrolet;Onix;1.0;Platafroma ;R$295,00;R$345,00;R$475,00
Chevrolet;Prisma;1.0;Platafroma ;R$285,00;R$345,00;R$475,00
Chevrolet;Prisma;1.4;Platafroma ;R$295,00;R$345,00;R$475,00
Chevrolet;Spin;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Chevrolet ;S10;;Consulta ;;;
Chevrolet ;Cruze ;;Consulta ;;;
Chevrolet ;Tracker;;Consulta ;;;
Chevrolet ;Trailblazer;;Consulta ;;;
Chevrolet ;Equinox;;Consulta ;;;
Chevrolet ;Camaro;;Consulta ;;;
Citroen;C3;1.2;Platafroma ;R$360,00;R$398,00;R$498,00
Citroen;C3;1.4;Platafroma ;R$360,00;R$398,00;R$498,00
Citroen;C3;1.5;Platafroma ;R$360,00;R$398,00;R$498,00
Citroen;C3;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Citroen ;Aircross;;Consulta ;;;
Citroen ;C4 Lounge;;Consulta ;;;
Fiat;Argo;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Argo;1.3;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Argo;1.8;Platafroma ;R$380,00;R$398,00;R$498,00
Fiat;Fiorino;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Fiorino;1.3;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Fiorino;1.5;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Fiorino;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Mobi;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Palio;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Palio;1.3;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Palio;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Palio;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Punto;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Punto;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Punto;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Siena;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Siena;1.3;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Siena;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Siena;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Siena;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Strada;1.3;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Strada;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Strada;1.5;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Strada;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Strada;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Uno ;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Uno ;1.3;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Uno ;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Uno ;1.5;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Uno ;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Palio Weekend;1.3;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Palio Weekend;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat;Palio Weekend;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Palio Weekend;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Linea ;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Linea ;1.9;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat;Bravo ;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat ;TORO;;Consulta ;;;
Fiat ;Doblo;1.3;Consulta ;;;
Fiat ;Doblo;1.4;Platafroma ;R$285,00;R$335,00;R$475,00
Fiat ;Doblo;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Fiat ;Doblo;1.8;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;EcoSport;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;EcoSport;1.5;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;EcoSport;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;New Fiesta;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Fiesta;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Fiesta;1.4;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Fiesta;1.5;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Fiesta;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Ka;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Ka;1.3;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Ka;1.5;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Ka;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Ka +;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Ka +;1.5;Platafroma ;R$360,00;R$398,00;R$498,00
Ford;Focus ;1.6;Platafroma ;R$398,00;R$450,00;R$498,00
Ford;Focus ;2.0;Platafroma ;R$398,00;R$450,00;R$498,00
Ford ;Ranger;;Consulta ;;;
Ford ;Fusion;;Consulta ;;;
Honda ;HR-V;;Consulta ;;;
Honda ;Civic;;Consulta ;;;
Honda ;Fit;;Consulta ;;;
Honda ;City;;Consulta ;;;
Honda ;WR-V;;Consulta ;;;
Hyndai;HB20;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Hyndai;HB20;1.5;Platafroma ;R$360,00;R$398,00;R$498,00
Hyundai ;Creta;;Consulta ;;;
Hyundai ;ix35;;Consulta ;;;
Hyundai ;Tucson;;Consulta ;;;
Hyundai ;Elantra;;Consulta ;;;
Hyundai ;Santa Fe;;Consulta ;;;
Jac ;T5;;Consulta ;;;
Jac ;T40;;Consulta ;;;
Jaguar ;F-Pace;;Consulta ;;;
Jaguar ;Jaguar XE;;Consulta ;;;
Jeep;COMPASS;;Consulta ;;;
Jeep;Renegade;1.8 ;Platafroma ;R$398,00;R$450,00;R$498,00
Jeep;Renegade;2.0 Diesel;Consulta ;;;
Kia ;Sportage;;Consulta ;;;
Kia ;Cerato;;Consulta ;;;
Kia ;Picanto;;Consulta ;;;
Land Rover;Discovery;;Consulta ;;;
Land Rover ;Land Rover Range Rover;;Consulta ;;;
Lifan ;X60;;Consulta ;;;
Lifan ;LF 530;;Consulta ;;;
Mercedes ;Classe C;;Consulta ;;;
Mercedes ;Classe GLA;;Consulta ;;;
Mercedes-Benz;A 200;;Consulta ;;;
Mercedes-Benz;GLC;;Consulta ;;;
Mercedes-Benz ;CLA 200;;Consulta ;;;
Mitsubishi ;L200;;Consulta ;;;
Mitsubishi ;ASX;;Consulta ;;;
Mitsubishi ;Outlander;;Consulta ;;;
Mitsubishi ;Pajero;;Consulta ;;;
Nissan;Kicks;;Consulta ;;;
Nissan ;Versa;;Consulta ;;;
Nissan ;March;;Consulta ;;;
Nissan ;Frontier;;Consulta ;;;
Nissan ;Sentra;;Consulta ;;;
Peugeot;2008;1.6;Platafroma ;R$398,00;R$450,00;R$498,00
Peugeot;208;1.2;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;208;1.5;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;208;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;207;1.4;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;207;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;206;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;206;1.4;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;206;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Peugeot;307;1.6;Platafroma ;R$398,00;R$450,00;R$498,00
Peugeot;307;2.0;Platafroma ;R$398,00;R$450,00;R$498,00
Peugeot ;408;;Consulta ;;;
Peugeot ;308;;Consulta ;;;
Peugeot 3;3008;;Consulta ;;;
Porsche ;911;;Consulta ;;;
Porsche ;Boxster;;Consulta ;;;
Range Rover ;Range Rover Evoque;;Consulta ;;;
Renault ;Duster;1.6;Platafroma ;R$398,00;R$450,00;R$498,00
Renault ;Duster;2.0;Platafroma ;R$398,00;R$450,00;R$498,00
Renault ;Kangoo;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Renault ;Kangoo;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Renault ;Kwid;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Renault ;Logan;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Renault ;Logan;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Renault ;Oroch;1.6;Platafroma ;R$398,00;R$450,00;R$498,00
Renault ;Oroch;2.0;Platafroma ;R$398,00;R$450,00;R$498,00
Renault ;Sandero;1.0;Platafroma ;R$360,00;R$398,00;R$498,00
Renault ;Captur;;Consulta ;;;
Renault ;Sandero;1.6;Platafroma ;R$360,00;R$398,00;R$498,00
Renault ;Sandero;2.0;Platafroma ;R$398,00;R$450,00;R$498,00
Renault ;Fluence;;Consulta ;;;
Suzuki ;Jimny;;Consulta ;;;
Suzuki ;Vitara;;Consulta ;;;
Toyota;Etios ;1.3;Platafroma ;R$398,00;R$450,00;R$498,00
Toyota;Etios ;1.5;Platafroma ;R$398,00;R$450,00;R$498,00
Toyota ;Corolla;;Consulta ;;;
Toyota ;Hilux;;Consulta ;;;
Toyota ;Hilux SW4;;Consulta ;;;
Toyota ;Prius;;Consulta ;;;
Troller ;T4;;Consulta ;;;
Volkswagen;Gol;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Gol;1.6;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Gol;1.8;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Gol;2.0;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Polo;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Polo;1.6;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Polo;2.0;Platafroma ;R$305,00;R$345,00;R$475,00
Volkswagen;Saveiro;1.6;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Saveiro;1.8;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Saveiro;2.0;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Space Fox;1.6;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;FOX;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;FOX;1.6;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Up;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Up;1.0 TSI;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Voyage;1.0;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Voyage;1.6;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen;Voyage;1.8;Platafroma ;R$285,00;R$335,00;R$475,00
Volkswagen ;Amarok;;Consulta ;;;
Volkswagen ;Jetta;;Consulta ;;;
Volkswagen ;Golf;1.0;Consulta ;;;
Volkswagen ;Golf;1.4;Platafroma ;R$485,00;R$550,00;R$598,00
Volkswagen ;Golf;1.6;Platafroma ;R$398,00;R$450,00;R$498,00
Volkswagen ;Golf;1.8;Platafroma ;R$485,00;R$550,00;R$598,00
Volkswagen ;Golf;2.0;Platafroma ;R$485,00;R$550,00;R$598,00
Volkswagen ;Tiguan;;Consulta ;;;
Volkswagen ;Passat;;Consulta ;;;
Volvo ;XC60;;Consulta ;;;
